编号,作战名称,所需时间,人力,弹药,口粮,零件,总计,总计/小时,人力/小时,弹药/小时,口粮/小时,零件/小时
6-3,提取科技,5:00:00,,,200.00 ,500.00 ,1700.00 ,340.00 ,,,40.00 ,100.00 
6-4,战场搜索,12:00:00,800.00 ,800.00 ,800.00 ,,2400.00 ,200.00 ,66.70 ,66.70 ,66.70 ,
7-1,监视据点,2:30:00,650.00 ,,650.00 ,,1300.00 ,520.00 ,260.00 ,,260.00 ,
7-2,接应队友,4:00:00,,650.00 ,,300.00 ,1550.00 ,387.5 ,,162.50 ,,75.00 
7-3,清理道理,5:30:00,900.00 ,600.00 ,600.00 ,,2100.00 ,318.80 ,163.60 ,109.09 ,109.09 ,
7-4,追踪傀儡,8:00:00,250.00 ,250.00 ,250.00 ,600.00 , 2550,318.80 ,31.25 ,31.25 ,31.25 ,75.00 
8-1,筹集资料,1:00:00,150.00 ,150.00 ,150.00 ,,450.00 ,450.00 ,150.00 ,150.00 ,150.00 ,
8-2,解析碎片,3:00:00,,,,450.00 ,1350.00 , 450,,,,150.00 
8-3,勘探现场,6:00:00,400.00 ,800.00 ,800.00 ,,2000.00 ,333.30 ,66.60 ,133.30 ,133.30 ,
8-4,修订路线,9:00:00,1500.00 ,400.00 ,400.00 ,100.00 ,2600.00 ,288.90 ,166.60 ,44.40 ,44.40 ,11.10 
9-1,清理哨站,0:30:00,,,100.00 ,50.00 ,250.00 ,500.00 ,,,200.00 ,100.00 
9-2,探测信号,1:30:00,180.00 ,,180.00 ,100.00 ,660.00 ,440.00 ,120.00 ,,120.00 ,66.60 
9-3,快速营救,4:30:00,750.00 ,750.00 ,,,1500.00 ,333.30 ,166.60 ,166.60 ,,
9-4,紧急压制,7:00:00,500.00 ,900.00 ,900.00 ,,2300.00 ,328.60 ,71.40 ,128.50 ,128.50 ,
10-1,协助验证,0:40:00,140.00 ,200.00 ,,,340.00 ,510.00 ,210.00 ,300.00 ,,
10-2,前线支援,1:40:00,,240.00 ,180.00 ,,420.00 ,252.00 ,,144.00 ,108.00 ,
10-3,腹地侦察,5:20:00,,480.00 ,480.00 ,300.00 ,1860.00 ,348.80 ,,90.00 ,90.00 ,56.25 
10-4,夺取通讯,10:00:00,660.00 ,660.00 ,660.00 ,330.00 ,2310.00 ,231.00 ,66.00 ,66.00 ,66.00 ,33.00 
11-1,人员输送,4:00:00,350.00 ,1050.00 ,,,1400.00 ,350.00 ,87.50 ,262.50 ,,
11-2,破解监视,4:00:00,360.00 ,540.00 ,540.00 ,,1440.00 ,360.00 ,90.00 ,135.00 ,135.00 ,
11-3,外观伪装,8:00:00,,750.00 ,1500.00 ,250.00 ,3000.00 ,375.00 ,,93.80 ,187.50 ,31.30 
11-4,突击支援,10:00:00,,1650.00 ,,900.00 ,4350.00 ,435.00 ,,165.00 ,,90.00 
12-1,维护装备,1:00:00,,220.00 ,220.00 ,,440.00 ,440.00 ,,220.00 ,220.00 ,
12-2,传输谍报,1:30:00,360.00 ,,,120.00 ,720.00 ,480.00 ,240.00 ,,,80.00 
12-3,干预敌兵,9:00:00,800.00 ,1200.00 ,1200.00 ,,3200.00 ,355.60 ,88.90 ,133.30 ,133.30 ,
12-4,建立基站,12:00:00,1800.00 ,,1800.00 ,,3600.00 ,300.00 ,150.00 ,,150.00 ,
13-1,紧急救护,3:00:00,,,1200.00 ,,1200.00 ,400.00 ,,,400.00 ,
13-2,破袭交通,6:00:00,800.00 ,800.00 ,800.00 ,300.00 ,3300.00 ,550.00 ,133.30 ,133.3 ,133.3 ,50.00 
13-3,回收军备,24:00:00,,4000.00 ,,1200.00 ,7600.00 ,316.70 ,,166.70 ,,50.00 
13-4,解构残骸,6:00:00,,,,1000.00 ,3000.00 ,500.00 ,,,,166.70 
